game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,home_result,stadium,location,roof,surface,old_game_id
2015_01_PIT_NE,2015,REG,1,9/10/2015,Thursday,20:30,PIT,NE,21,28,7,Gillette Stadium,Home,outdoors,fieldturf,2015091000
2015_01_IND_BUF,2015,REG,1,9/13/2015,Sunday,13:00,IND,BUF,14,27,13,Ralph Wilson Stadium,Home,outdoors,a_turf,2015091304
2015_01_GB_CHI,2015,REG,1,9/13/2015,Sunday,13:00,GB,CHI,31,23,-8,Soldier Field,Home,outdoors,grass,2015091300
2015_01_KC_HOU,2015,REG,1,9/13/2015,Sunday,13:00,KC,HOU,27,20,-7,NRG Stadium,Home,closed,grass,2015091306
2015_01_CAR_JAX,2015,REG,1,9/13/2015,Sunday,13:00,CAR,JAX,20,9,-11,EverBank Field,Home,outdoors,grass,2015091302
2015_01_CLE_NYJ,2015,REG,1,9/13/2015,Sunday,13:00,CLE,NYJ,10,31,21,MetLife Stadium,Home,outdoors,fieldturf,2015091305
2015_01_SEA_STL,2015,REG,1,9/13/2015,Sunday,13:00,SEA,STL,31,34,3,Edward Jones Dome,Home,dome,astroplay,2015091301
2015_01_MIA_WAS,2015,REG,1,9/13/2015,Sunday,13:00,MIA,WAS,17,10,-7,FedExField,Home,outdoors,grass,2015091303
2015_01_NO_ARI,2015,REG,1,9/13/2015,Sunday,16:05,NO,ARI,19,31,12,University of Phoenix Stadium,Home,closed,grass,2015091307
2015_01_DET_SD,2015,REG,1,9/13/2015,Sunday,16:05,DET,SD,28,33,5,Qualcomm Stadium,Home,outdoors,grass,2015091308
2015_01_BAL_DEN,2015,REG,1,9/13/2015,Sunday,16:25,BAL,DEN,13,19,6,Sports Authority Field at Mile High,Home,outdoors,grass,2015091309
2015_01_CIN_OAK,2015,REG,1,9/13/2015,Sunday,16:25,CIN,OAK,33,13,-20,O.co Coliseum,Home,outdoors,grass,2015091310
2015_01_TEN_TB,2015,REG,1,9/13/2015,Sunday,16:25,TEN,TB,42,14,-28,Raymond James Stadium,Home,outdoors,grass,2015091311
2015_01_NYG_DAL,2015,REG,1,9/13/2015,Sunday,20:30,NYG,DAL,26,27,1,AT&T Stadium,Home,closed,matrixturf,2015091312
